Question ID,Input,Output,Image Index,source,answer_type
94,What is the difference between the percentage of Acceptable and Unacceptable?,20,13497,human,numeric
95,Is the value of Very satisfied segment 3%?,Yes,13934,human,yes_no
96,"Take sum of two smallest segment, multiply it by 3, is the result equal to third largest segment?",Yes,13934,human,yes_no
97,Which value represents the largest percentage of the graph?,Favor,14573,human,other_text
98,"What is the total value between ""oppose"" and ""favor""?",69,14573,human,numeric
99,What's the percentage of Good opinion?,70,14914,human,numeric
100,Is the largest segment 10 times bigger than smallest segment?,Yes,14914,human,yes_no
101,What is the color of Second lowest valve?,Green,15494,human,other_text
102,What is the sum of two lowest value in the Pie chart?,14,15494,human,numeric
103,Is there any segment whose value is 20%?,No,16122,human,yes_no
104,What's the ratio of second largest segment and Postive segment?,1.4,16122,human,numeric
105,What's the no.1 country/region in the chart?,Mexico,20337,human,other_text
106,What's the sum of illegal immigrants from Mexico and Asia?,0.71,20337,human,numeric
107,What's the value of first Very well bar from the bottom?,41,7889,human,numeric
108,Add all the bars whose value exceeds 40?,146,7889,human,numeric
109,What's the number of refugees resettled in 2016 in Taxas?,7803,7891,human,numeric
110,Is the average of first two bars from the bottom greater than smallest bar?,Yes,7891,human,yes_no
111,What color does value 32 shows?,Green,7897,human,other_text
112,Scientists understand health effects of GM foods in fairly well more then Climate scientist understand causes of climate change?,Yes,7897,human,yes_no
113,"What's the percentage of Muslims in Nigeria who have ""Benefit of all"" opinion?",53,8042,human,numeric
114,"Take median of green bars in Kenya, multiply it by 2, is the result greater than median of orange bar in Kenya?",Yes,8042,human,yes_no
115,Is the percentage value of smallest orange bar 32?,Yes,8119,human,yes_no
116,What's the difference between sum of upper and lower bars?,4,8119,human,numeric
117,How many categories are there in the chart?,2,00326327001359,human,numeric
118,Is the rate for Guyana twice that of Papua New Guinea?,No,00326327001359,human,yes_no
119,What color  bar does Tanzania represent?,gray,01503134001790,human,other_text
120,Is the value of Qatar more then Vietnam?,Yes,01503134001790,human,yes_no
121,What's the value of longest bar?,49.03,05516045003357,human,numeric
122,What's the average of longest bar value and smallest bar value?,47.765,05516045003357,human,numeric
123,What is the value of longest bar?,79.33,05836356005417,human,numeric
124,Does the sum of smallest two bars is equals to exactly 1/3rd times the value of largest bar?,No,05836356005417,human,yes_no
125,What's the value of largest bar?,0.18,06605156002432,human,numeric
126,What's the add up value of United kingdom and Australia?,0.17,06605156002432,human,numeric
127,What is the value of pink colour?,219.67,07082838005745,human,numeric
128,What is the difference between the value of pink color to purple color?,24.89,07082838005745,human,numeric
129,Red color bar shows which country data?,Indonesia,08152707004883,human,other_text
130,What is the average of all the countries together?,39.75,08152707004883,human,numeric
131,How many colors are used in the graph?,1,09611732006613,human,numeric
132,Does the difference of largest two bar is greater then the smallest bar?,Yes,09611732006613,human,yes_no
133,What is the value of Canada?,0.03,12790542011432,human,numeric
134,What is the total add up value of Brazil and Turkey?,0.02,12790542011432,human,numeric
135,What's the value of largest bar?,41.88,14113772021881,human,numeric
136,Does the value of smallest bar is half the value of 3rd smallest bar?,No,14113772021881,human,yes_no
137,What is the share of women who work as cashiers?,0.72,14935655003519,human,numeric
138,Is the average share of women in top two lowest wage occupations more than 90?,Yes,14935655003519,human,yes_no
139,Find out the sweden's data?,11,17309959021921,human,numeric
140,What is the average days of all bars combined?,15,17309959021921,human,numeric
141,Which country has the highest coal reserves in 2019?,Brazil,17958890000663,human,other_text
142,Is the total coal reserves of Czechia and Uzbekistan more than Brazil?,No,17958890000663,human,yes_no
143,Which country has the higher number of acute care beds?,Mexico,18051975000585,human,other_text
144,"Is the average value of two bars greater than 1,00,000?",Yes,18051975000585,human,yes_no
145,"What is the value for Asia, Central?",0.6667,18868489007763,human,numeric
146,Is the median value of all bars greater than 60?,Yes,18868489007763,human,yes_no
147,What is the color of smallest bar?,Brown,20559489000721,human,other_text
148,What is the average of two bars?,84,20559489000721,human,numeric
149,What is the value of All ages category?,13.28,20665534013085,human,numeric
150,Does the difference in the value of All ages and 15-49 years is equal to the value of 5-14 years category?,No,20665534013085,human,yes_no
151,What is the color of bar that represents China?,Brown,23940851006052,human,other_text
152,Does the sum of value of China and Finland is greater then the difference of Sri Lanka and Finland?,Yes,23940851006052,human,yes_no
153,What denotes the light blue color bar ??,Electricity & Heat,24098382002241,human,other_text
154,What is the difference between the largest bar and the smallest bar??,7.01,24098382002241,human,numeric
155,How many color bars are used in the graph?,4,25773200006849,human,numeric
156,Does the average of Norway and Denmark is equal to Austria?,No,25773200006849,human,yes_no
157,What is the value of longest bar?,153.56,27867178011897,human,numeric
158,What is the average of Smallest two bars?,73.895,27867178011897,human,numeric
159,What is the value of the grean bar??,1393.51,28267067001308,human,numeric
160,What's the average value of last two bars in the chart??,6.38,28267067001308,human,numeric
161,Can you see any value 25% in this graph?,No,28996933007140,human,yes_no
162,Find the average of two highest values (A) and sum of two lowest values (B). Write the answer in the form of A:B.,4.1234567901234565,28996933007140,human,numeric
163,What represents the Red bar?,Unburnable Reserves,29016296007214,human,other_text
164,Does the Difference of smallest two bar is smaller then the difference of largest two bars?,Yes,29016296007214,human,yes_no
165,Which country/region has the value 3.91t?,Northern Europe,29435929004257,human,other_text
166,Is the average of the two values greater than their difference?,No,29435929004257,human,yes_no
167,Only one bar has the value 0.26. Is it correct statement?,No,33748393006094,human,yes_no
168,Find the ratio of median value of all bars and highest value?,0.9629629629629629,33748393006094,human,numeric
169,What is the value of Malta?,143,39071385003025,human,numeric
170,Does the difference of Central Asia and Morocco is greater then the value of Malta?,Yes,39071385003025,human,yes_no
171,In which place the Poultry production is 2.25?,France,39199516000329,human,other_text
172,Is the Poultry production value of Eastern Africa more then Tunisia?,Yes,39199516000329,human,yes_no
173,What is the difference in Natural Gas and Oil?,2.1,39339879006057,human,numeric
174,What is the Ration of Coal and Natural Gas?,0.038111111,39339879006057,human,numeric
175,What's the value of largest bar?,46600,41201130000166,human,numeric
176,Does the sum of smallest two bar is 1/3times the value of 3rd smallest bar?,No,41201130000166,human,yes_no
177,Which country's bar resembles the color of grapes,Guatemala,42439452012257,human,other_text
178,Is the sum of populations of the three smaller countries bigger than the population of the largest country,No,42439452012257,human,yes_no
179,what's the value of largest bar?,4.18,43709187005017,human,numeric
180,Does the sum of two smallest bar is greater then the 3rd smallest bar?,No,43709187005017,human,yes_no
181,What's the value of smallest bar?,62,43886114007807,human,numeric
182,Does the sum of smallest two bar is two times the value of largest bar?,No,43886114007807,human,yes_no
183,What is the color of lowest salary bar?,gray,47990148004196,human,other_text
184,Is the sum of Hungary and turkey more then Australia,No,47990148004196,human,yes_no
185,Which country/region has Gas Reserves more than Romania and lower than Ukraine?,Trinidad and Tobago,49137730000079,human,other_text
186,Is the total vaue of Gas Reserves in Romania and Trinidad and Tobago more than 350 billion m3?,Yes,49137730000079,human,yes_no
187,What does the Grey bar represent?,Singapore,49668651006513,human,other_text
188,is the value of Somalia more then Lithuania and singapore?,Yes,49668651006513,human,yes_no
189,Which metal has the highest Real commodity price index?,Nickel,53831836003554,human,other_text
190,Calculate the average real commodity price index of the bar values lower than 80?,60.03,53831836003554,human,numeric
191,What is the name of first bar?,Rwanda,58415953006360,human,other_text
192,Does the sum of smallest two bar is ewual to the value of largest bar?,No,58415953006360,human,yes_no
193,How many color bars are used in the graph?,8,65032629000853,human,numeric
194,Does the sum of smallest two bar is greater then then the value of largest bar?,No,65032629000853,human,yes_no
195,Which country has the least share of poeple living in urban agglomerations?,Kazakhstan,65293958009683,human,other_text
196,Find the ratio between median percentage share of people living in urban agglomerations and the share of poeple in Pakistan (ignore decimal values)?,0.552777778,65293958009683,human,numeric
197,How many age group is mention in the graph?,7,67626600001652,human,numeric
198,Is the value of age group 50-69 more then All Ages?,Yes,67626600001652,human,yes_no
199,What's the value of upper ost bar?,7.29,74071995008059,human,numeric
200,Does the sum of smallest three bars is half the value of largest bar?,No,74071995008059,human,yes_no
201,What is the number of people without access to an improved water source in Syria?,2.13,74596034005236,human,numeric
202,Difference in the number of people without access to an improved water source in Mali and Syria is greater than 2 million. Is this statement correct?,Yes,74596034005236,human,yes_no
203,Which is the smallest  value of the percenage?,0.0766,80027677000665,human,numeric
204,What is the value of Solvakia and Costa Rica?,"[15.71, 7.66]",80027677000665,human,other_text
205,Which country data shown here?,Russia,00989191017734,human,other_text
206,How many percentage points in moved from 2004 to� 2006 (68) ?,3,00989191017734,human,numeric
207,How many countries are featured here?,3,08688106002893,human,numeric
208,When did all of the countries reach their peak?,2008,08688106002893,human,numeric
209,What is the color of the Austria?,Green,12228183002539,human,other_text
210,What is the difference between the value of Austria and Greece in the year 2000?,0.22,12228183002539,human,numeric
211,Which two countries are being compared in the given graph?,"[Mauritius, Chad]",20827112002803,human,other_text
212,Which of the countries has had a higher male-to-female ratio over the years?,Mauritius,20827112002803,human,other_text
213,What does the orange line represent?,Guinea,26143890007033,human,other_text
214,Is the ratio between two countries in 2014 greater than 5:1?,Yes,26143890007033,human,yes_no
215,What is the color of the bar that shows the highest death rate from smoking in the year 1996?,Pink,27867178011747,human,other_text
216,Which bar is between the range of 100 to 200 that shows the Death rate from smoking?,Timor,27867178011747,human,other_text
217,How many years are mention in the graph?,9,30583182000177,human,numeric
218,What is the different in percentage in the year 1990 between Hong Kong and Cambodia ?,30,30583182000177,human,numeric
219,In how many years was the age-standardized DALYs rate less than 200?,3,41436572009331,human,numeric
220,Which year recorded the highest DALYs age-standardized rate in Indonesia?,2015,41436572009331,human,numeric
221,How many years are represented?,6,47590222000243,human,numeric
222,Is the average for males always higher than the average for females?,Yes,47590222000243,human,yes_no
223,Is the value of the red dotted line in 2000 the lowest?,Yes,50875547003833,human,yes_no
224,In which year is the difference between Prevalence and Incidence line greatest?,2014,50875547003833,human,numeric
225,Is the energy intensity for Industry sector highest in 2002?,Yes,62946309004899,human,yes_no
226,Which sector has energy intensity between Primary energy and Industry?,Final energy,62946309004899,human,other_text
227,Is the proportion of total manufacturing value close to 15% in Georgia in 2002?,Yes,65269301017204,human,yes_no
228,In how many years is the value of the Georgia graph greater than 15?,6,65269301017204,human,numeric
229,Which two countries are compared in the given graph?,"[Argentina, Hungary]",71715124005162,human,other_text
230,Which country is represented by the blue line in the graph?,Hungary,71715124005162,human,other_text
231,Which country is represented by the blue color line?,Afghanistan,73052384002021,human,other_text
232,Which year recorded the highest Pupil-teacher ratio in pre-primary education in Afghanistan?,1985,73052384002021,human,numeric
233,How many countries are shown on this graph?,2,74100259001967,human,numeric
234,When was the difference between the two countries the greatest?,"[2010, 2011]",74100259001967,human,other_text
235,Which two countries are being compared in the given line graph?,"[Lithuania, Papua New Guinea]",78337933005631,human,other_text
236,In how many years was the share of the population with an alcohol use disorder less than 5 % in Lithuania?,14,78337933005631,human,numeric
237,What country has the highest share of the population with autism?,Canada,78534843003005,human,other_text
238,What countries have the share of the population with autism with a value lower than 0.25%?,"[Pakistan, Togo]",78534843003005,human,other_text
239,At how many times did the lines representing Burundi and Cote d'Ivoire crossed each other?,1,81760907006238,human,numeric
240,Which year recorded the highest pump price for gasoline in Burundi?,2000,81760907006238,human,numeric
241,Which age group recorded the highest homicide rate in Suriname over the years?,15-49 years old,81814640000280,human,other_text
242,How many age groups have recorded a suicide rate of more than 6 over the years?,3,81814640000280,human,numeric
243,Is the above-ground biomass in forest per hectare increasing in the United Kingdom over the year?,Yes,99686349003275,human,yes_no
244,Which country has a median value between 80 t/ha and 100t/ha?,United Kingdom,99686349003275,human,other_text
245,What's the percentage value of the green bar in U.S. category?,78,1264,human,numeric
246,What's the average of blue and green bars in Germany?,49.5,1264,human,numeric
247,What's the percentage of U.S. adults who say public opinion should play an important role to guide policy decisions about scientifice issues in 2019?,54,1338,human,numeric
248,Is the sum of all the bars in 2020 equals to the sum of all the bars in 2019?,Yes,1338,human,yes_no
249,What's the lowest percentage value in Total?,29,1367,human,numeric
250,What's the median value of all the bars in College grad?,37,1367,human,numeric
251,Is the color of bar green whose value for East 41?,Yes,1383,human,yes_no
252,How many values in the green bars are the same?,1,1383,human,numeric
253,What's the percentage value of top graph?,70,1595,human,numeric
254,Is the sum of the two middle bars greater than the sum of top and bottom bars?,Yes,1595,human,yes_no
255,What's the largest value of light blue bar?,44,827,human,numeric
256,Is the median of light blue bars and dark green bar equal?,No,827,human,yes_no
257,What�s the value of the second bar from the bottom?,4,2161,human,numeric
258,Is the median of all the bars greater than the average of all the bars?,No,2161,human,yes_no
259,What is the percentage of adults who do not use Whatsapp in Lebanon?,0.16,2490,human,numeric
260,Is the percentage of people who don't use Whatsapp in India is greater than the percentage of people who use Whatsapp in Mexico?,No,2490,human,yes_no
261,What's the value of the Male bar?,78,2606,human,numeric
262,Is the median of the first three blue bars from the top greater than the highest value of the blue bar?,No,2606,human,yes_no
263,What is the value of the smallest grey bar?,9,2977,human,numeric
264,Are there any two bars whose value remains the same?,Yes,2977,human,yes_no
265,What is the 'NET likely' value of Own job or profession?,0.3,3610,human,numeric
266,Which profession is most likely at the risk of automation?,Fast food worker,3610,human,other_text
267,Is the color of bars in right darker than the color of bars on left?,Yes,3644,human,yes_no
268,How many bars have values above 50?,8,3644,human,numeric
269,What's the percentage value of Worse in Germans?,0.46,3894,human,numeric
270,Is the median of all the American bars greater than the largest green bar?, No,3894,human,yes_no
271,Is the color of rightmost bars gray?,Yes,4392,human,yes_no
272,What's the ratio of the two smallest gray bars?,0.215277778,4392,human,numeric
273,Is the value of the largest bar is 41?,Yes,4215,human,yes_no
274,Are there any two bars that have similar values?,Yes,4215,human,yes_no
275,What is the value of 'Approve' for Rep/Lean Rep?,72,4602,human,numeric
276,What is the addition of two 'Disapprove' bars with the same value?,92,4602,human,numeric
277,What % of people in the UK believe that it is necessary for immigrants to integrate?,73,4483,human,numeric
278,what is the ratio of people in France who believe that it is necessary for immigrants to integrate and those who do not?,0.436111111,4483,human,numeric
279,What % of people think that France is playing a more important role in the world compared to 10 years ago?,0.22,4633,human,numeric
280,What % of people think that India is playing an as important or a more important role in the world compared to 10 years ago?,0.61,4633,human,numeric
281,What's the percentage of teens choosing often?,30,4912,human,numeric
282,What's the most popular option in both categories?,Sometimes,4912,human,other_text
283,What does the yellow indicate?,Not bothered,5161,human,other_text
284,What is the average of 'bothered' responses? (in percent),0.37,5161,human,numeric
285,How many colors are used to represent the graph?,4,4138,human,numeric
286,Is the median of Strongly Approve bars greater than the median of Strongly Disapprove bars?,No,4138,human,yes_no
287,What's the value of the second bar from the bottom?,0.5,4093,human,numeric
288,What's the median of green bars?,1.4,4093,human,numeric
289,What's the value of the leftmost upper bar?,56,3958,human,numeric
290,Is the average of green bars equal to two times of smallest blue bar?,Yes,3958,human,yes_no
291,What's the percentage of boys choosing too much time?,41,4736,human,numeric
292,What's the difference between girls and boys that choose too little time?,16,4736,human,numeric
293,Is the color of all the bars on the right-side green?,Yes,5232,human,yes_no
294,Is the average of all the green bars greater than the median of the blue bar?,No,5232,human,yes_no
295,Is the value of Rural darkest blue bar is 24?,Yes,4828,human,yes_no
296,Is the average of bars in Suburban greater than the average of bars in the Rural category?,No,4828,human,yes_no
297,What represents value with no color segment?,NET,5491,human,other_text
298,What is the difference in the very effective value in Improving mental health screening and treatment and Having metal detectors in school?,0.15,5491,human,numeric
299,What is the value of Twitter.com?,50,5526,human,numeric
300,What is the ratio between Adult content and Twitter.com?,0.378472222,5526,human,numeric
301,What percentage of major role sees government to keep country safe from terrorism??,0.94,5946,human,numeric
302,What is the ratio between the major and minor roles of government to keep a country safe from terrorism??,3.920138889,5946,human,numeric
303,What do Dark orange bars represent?,Favorable,6085,human,other_text
304,What's the difference between the value of the longest bar of right and the longest bar of left?,52,6085,human,numeric
305,What is the very good percentage in Canada?,43,6113,human,numeric
306,"Look at the Median,� Find out the ratio between Very good and somewhat good",1.573611111,6113,human,numeric
307,What's the value of the longest bar?,169,6246,human,numeric
308,How many bars have a value greater than the smallest bar in the graph?,8,6246,human,numeric
309,Which country people have highest Unfavourable negative views for Korea?,Japan,6775,human,other_text
310,What is the Unfavourable difference in the value of the US and South Korea?,2,6775,human,numeric
311,What's the value of Approve opinion in the Economy?,55,6912,human,numeric
312,Is the median of green bars greater than the largest orange bar?,Yes,6912,human,yes_no
313,Is the color of Favorable bars orange?,No,7250,human,yes_no
314,Is the sum of the two largest green bars greater than the largest orange bar?,Yes,7250,human,yes_no
315,What is the Gain influence value of wealthy people?,0.64,7669,human,numeric
316,Is the total percent of men and women who lose influence greater than 50?,Yes,7669,human,yes_no
317,"What's the percentage of U.S. adults who have the ""Bad job"" opinion?",51,8310,human,numeric
318,What's the ratio of the smallest blue bar and the first green bar from the top?,1.160416667,8310,human,numeric
319,What's the value of the leftmost bar in the middle?,35,8557,human,numeric
320,Which two values are repeated in the bar?,7,8557,human,numeric
321,What is the value of the smallest green bar??,35,8827,human,numeric
322,Is the value of bad things because of lower wages and cost jobs in the U.S. higher than the Netherlands??,Yes,8827,human,yes_no
323,What's the number of comments mentioning Donald Trump in September (in thousands)?,64000,8873,human,numeric
324,What's the ratio of the second smallest bar and second-largest bar?,0.877777778,8873,human,numeric
325,What's the percentage of White who trust most or all of their neighbors?,62,9120,human,numeric
326,How many bars have a value equals to 55?,2,9120,human,numeric
327,Which is the second largest green bar value in the graph??,0.53,9194,human,numeric
328,Is the percentage of Canada higher than the U.S. in terms of Should use force to defend allies??,No,9194,human,yes_no
329,What's the value of the smallest bar?,2,9305,human,numeric
330,"Take the sum of the two smallest bars, multiply it by 10, is the result greater than the largest bar?",No,9305,human,yes_no
331,What's the percentage of people who need a secure job?,89,9356,human,numeric
332,How many requirements have over 50% of people needing them?,2,9356,human,numeric
333,What position is the darkest part of each bar?,Leftmost,9652,human,other_text
334,What total percentage of gay men say they are either A lot or in Some way socially accepted?,0.71,9652,human,numeric
335,What's the value of the second yellow bar from the top??,14,9659,human,numeric
336,What's the sum of all the yellow bars above 20??,65,9659,human,numeric
337,What represents the two bars in the chart??,"[Bad thing, Good thing]",9851,human,other_text
338,What is the total percentage of Canada and the U.S. deciding Top as a bad thing??,60,9851,human,numeric
339,What's the percentage of respondents saying immigrants in the U.S. are making the economy better?,28,9922,human,numeric
340,What's the sum of the two largest yellow bars?,100,9922,human,numeric
341,What's the color of Get better bars??,Dark Green,9939,human,other_text
342,What's the difference in the value of the largest green bar and the largest grey bar??,29,9939,human,numeric
343,What is the elderly population percentage in Canada?,0.153,OECD_ELDERLY_POPULATION_CAN_G20_ISR_SVN_000005,human,numeric
344,Is the difference in the values between Red bar and Blue bar more than 4?,Yes,OECD_ELDERLY_POPULATION_CAN_G20_ISR_SVN_000005,human,yes_no
345,Is the lowest value in the Bar shows 0.0M?,Yes,OECD_FISH_LANDINGS_DEU_FRA_JPN_LTU_NZL_000007,human,yes_no
346,What is the ration of largest bar an second lowest bar?,19,OECD_FISH_LANDINGS_DEU_FRA_JPN_LTU_NZL_000007,human,numeric
347,How many color does the graph shows?,2,OECD_FOREIGN-BORN_EMPLOYMENT_FIN_MEX_000012,human,numeric
348,From Mexico and Finland which country  has a highest value?,Finland,OECD_FOREIGN-BORN_EMPLOYMENT_FIN_MEX_000012,human,other_text
349,How many bar are there in the graph?,4,OECD_GENERAL_GOVERNMENT_DEBT_BEL_ESP_ISR_PRT_USA_000022,human,numeric
350,Does the Spain and Portugal shows the same value?,Yes,OECD_GENERAL_GOVERNMENT_DEBT_BEL_ESP_ISR_PRT_USA_000022,human,yes_no
351,What does the purple bar represent?,Spain,OECD_GOVERNMENT_RESEARCHERS_CHN_ESP_KOR_POL_PRT_000007,human,other_text
352,How many countries have over 20k researchers?,3,OECD_GOVERNMENT_RESEARCHERS_CHN_ESP_KOR_POL_PRT_000007,human,numeric
353,Red bar represents which country?,Norway,OECD_HOSPITAL_DISCHARGE_RATES_CHE_FIN_NOR_000005,human,other_text
354,What is the average of all three data?,16.93,OECD_HOSPITAL_DISCHARGE_RATES_CHE_FIN_NOR_000005,human,numeric
355,What is the value of the blue bar?,61.6,OECD_HOUSEHOLD_FINANCIAL_ASSETS_ESP_IRL_ITA_NZL_TUR_000020,human,numeric
356,What is the difference of the two bars?,27.8,OECD_HOUSEHOLD_FINANCIAL_ASSETS_ESP_IRL_ITA_NZL_TUR_000020,human,numeric
357,What is the color of Finland bar?,Red,OECD_INFRASTRUCTURE_MAINTENANCE_CHL_FIN_ISL_LIE_SVK_000002,human,other_text
358,What is the difference in the value of Finland and Slovak Republic?,206,OECD_INFRASTRUCTURE_MAINTENANCE_CHL_FIN_ISL_LIE_SVK_000002,human,numeric
359,Which country represented by blue bar?,Argentina,OECD_MATERIAL_CONSUMPTION_ARG_GAB_HRV_LAO_SLE_000044,human,other_text
360,Does the difference in the value of smallest two bar is greater then the value of difference in the largest two bar?,No,OECD_MATERIAL_CONSUMPTION_ARG_GAB_HRV_LAO_SLE_000044,human,yes_no
361,From two place Costa Rica and Germany which has the highest value of Pension spenders?,Germany,OECD_PENSION_SPENDING_CRI_DEU_EGY_000004,human,other_text
362,Is the difference of Pension spending value of Germany and Costa Rica more then 5?,Yes,OECD_PENSION_SPENDING_CRI_DEU_EGY_000004,human,yes_no
363,Which country is represented by Green bar?,Turkey,OECD_ROAD_ACCIDENTS_GBR_HUN_MKD_MLT_TUR_000003,human,other_text
364,Find the total of the average of two highest and two lowest values?,173.5,OECD_ROAD_ACCIDENTS_GBR_HUN_MKD_MLT_TUR_000003,human,numeric
365,Which country is represented by blue bar?,Israel,OECD_TERMS_OF_TRADE_EST_ISR_RUS_USA_000014,human,other_text
